0040CEC0;__amsg_exit
0040CEE4;CorExitProcess
0040CF0A;___crtExitProcess
0040CF1F;__lockexit
0040CF28;__unlockexit
0040CF31;__initterm
0040CF49;__initterm_e
0040CFDC;__cinit
0040D06E;_doexit
0040D150;_exit
0040D161;__exit
0040D172;__cexit
0040D181;__c_exit
0040D190;__init_pointers
0040D1DC;__NMSG_WRITE
0040D37C;__FF_MSGBANNER
0040D3B6;__XcptFilter
0040D514;__wincmdln
0040D571;__setenvp
0040D64C;_parse_cmdline
0040D7E4;__setargv
0040D89D;___crtGetEnvironmentStringsA
0040D9D2;__ioinit
0040DC5A;__use_encode_pointer
0040DCC6;EncodePointer
0040DD34;__encoded_null
0040DD3D;DecodePointer
0040DDB4;___fls_getvalue@4
0040DDCF;___set_flsgetvalue
0040DE01;___fls_setvalue@8
0040DE1A;__mtterm
0040DE57;DecodePointer_0
0040DF16;__getptd_noexit
0040DF8D;__getptd
0040DFA5;__freefls@4
0040E0C6;__freeptd
0040E12F;FlsAlloc
0040E2B3;___heap_select
0040E30E;__heap_init
0040E368;__SEH_prolog4
0040E3AD;__SEH_epilog4
0040E3D0;SEH_4122B0
0040E566;___security_init_cookie
0040E5FA;_abort
0040E6ED;__set_abort_behavior
0040E715;??0_LocaleUpdate@@QAE@PAUlocaleinfo_struct@@@Z
0040E797;__forcdecpt_l
0040E808;__cropzeros_l
0040E888;__positive
0040E89E;__fassign_l
0040E8DE;__fassign
0040E8F5;__shift
0040E912;__forcdecpt
0040E92E;__cftoe2_l
0040EA9B;__cftoe_l
0040EB69;__cftoe
0040EB87;__cftoa_l
0040EEF8;__cftof2_l
0040EFED;__cftof_l
0040F0A6;__cftog_l
0040F19E;__cfltcvt_l
0040F224;__cfltcvt
0040F245;__initp_misc_cfltcvt_tab
0040F264;__setdefaultprecision
0040F28D;__ms_p5_test_fdiv
0040F2C9;KERNEL32
0040F2F2;_fastzero_I
0040F349;__VEC_memzero
0040F3D8;__sse2_mathfcns_init
0040F3EC;?strtoxl@@YAKPAUlocaleinfo_struct@@PBDPAPBDHH@Z
0040F617;_strtol
0040F640;_strtoul
0040F66A;?strtoxq@@YA_KPAUlocaleinfo_struct@@PBDPAPBDHH@Z
0040F8FE;__strtoi64
0040F927;__strtoui64
0040F951;?_Type_info_dtor@type_info@@CAXPAV1@@Z
0040F9D0;_strcmp
0040FA58;_CallDestructExceptionObject
0040FA8C;__global_unwind2
0040FAAC;__unwind_handler
0040FAF1;__local_unwind2
0040FB75;__abnormal_termination
0040FB98;__NLG_Notify1
0040FBA1;__NLG_Notify
0040FBC0;__NLG_Call
0040FBD0;_ValidateScopeTableHandlers
0040FC90;__ValidateEH3RN
00410032;__get_errno_from_oserr
0041006D;__errno
00410080;___doserrno
00410093;__dosmaperr
004100B1;__flsbuf
00410211;_write_char
00410244;_write_multi_char
00410268;_write_string
004102B2;__output_l
00410C46;__vsprintf_l
00410CC2;_vsprintf
00410CD9;__vsnprintf_helper
00410DA3;__vsprintf_s_l
00410E29;_vsprintf_s
00410E44;__controlfp_s
00410EAE;__statfp
00410EB9;__clrfp
00410EC5;__ctrlfp
00410EEC;__set_statfp
00410F42;___set_fpsr_sse2
00410FB4;__initp_misc_winsig
00410FCD;_siglookup
0041100E;_raise
004111D5;__malloc_crt
00411215;__calloc_crt
0041125D;__realloc_crt
004112A8;__recalloc_crt
004112F8;__msize
0041139B;_ldexp
00411549;__set_exp
00411573;__sptype
004115CE;__decomp
0041167D;__raise_exc_ex
00411957;__raise_exc
00411978;__handle_exc
00411B59;__set_errno
00411B81;__errcode
00411BAE;__umatherr
00411C4C;__handle_qnan1
00411C9F;__handle_qnan2
00411CFE;__except1
00411DB8;__except2
00411E84;_fastcopy_I
00411F0B;__VEC_memcpy
00411FEE;?terminate@@YAXXZ
00412027;?unexpected@@YAXXZ
0041203A;?_inconsistency@@YAXXZ
00412071;__initp_eh_hooks
00412082;__mtinitlocks
004120CB;__mtdeletelocks
00412120;__unlock
00412135;__mtinitlocknum
004121F8;__lock
00412230;__ValidateImageBase
00412260;__FindPESection
004122B0;__IsNonwritableInCurrentImage
0041237F;___crtInitCritSecNoSpinCount@8
0041238F;InitializeCriticalSectionAndSpinCount
0041245E;__callnewh
00412480;MessageBoxA_0
0041263D;_strcat_s
004126AE;_strncpy_s
00412770;_strlen
004127FB;_strcpy_s
00412860;__set_error_mode
004128A6;?x_ismbbtype_l@@YAHPAUlocaleinfo_struct@@IHH@Z
004128F7;__ismbblead
0041290A;_CPtoLCID
00412939;?setSBCS@@YAXPAUthreadmbcinfostruct@@@Z
0041298E;?setSBUpLow@@YAXPAUthreadmbcinfostruct@@@Z
00412B18;___updatetmbcinfo
00412BBC;getSystemCP
00412C36;__setmbcp_nolock
00412E0F;__setmbcp
00412FA9;___initmbctable
00412FC7;_free
00413055;___freetlocinfo
00413195;___addlocaleref
0041321B;___removelocaleref
004132A7;__updatetlocinfoEx_nolock
004132E5;___updatetlocinfo
0041335B;___sbh_heap_init
004133A3;___sbh_find_block
004133CE;___sbh_free_block
004136E2;___sbh_alloc_new_region
00413792;___sbh_alloc_new_group
00413898;___sbh_resize_block
00413B77;___sbh_alloc_block
00413E5C;__local_unwind4
00413F32;__seh_longjmp_unwind4@4
00413F4E;@_EH4_CallFilterFunc@8
00413F7E;@_EH4_GlobalUnwind@4
00413F98;@_EH4_LocalUnwind@16
00413FAF;__isalpha_l
00414003;_isalpha
0041402E;__isupper_l
0041407D;_isupper
004140A6;__islower_l
004140F5;_islower
